project_task_id,external_task_id,parent_id,external_parent_id,title,category,duration,work,start_date,end_date,percent_complete,priority,notes,resource1_unixname,resource2_unixname,resource3_unixname,resource4_unixname,resource5_unixname,dependenton1_project_task_id,dependenton1_external_task_id,dependenton1_linktype,dependenton2_project_task_id,dependenton2_external_task_id,dependenton2_linktype,dependenton3_project_task_id,dependenton3_external_task_id,dependenton3_linktype,dependenton4_project_task_id,dependenton4_external_task_id,dependenton4_linktype,dependenton5_project_task_id,dependenton5_external_task_id,dependenton5_linktype
650,,0,,doc shell date usage,None,0,2,2013-09-04 11:00:00,2013-09-11 11:00:00,0,3,the myApt scripts use dates computed by default in shell. Needs more explanation in a dedicated apt page of the project site. To be consulted: http://www.cyberciti.biz/tips/shell-scripting-creating-reportlog-file-names-with-date-in-filename.html http://www.linuxcommand.org/wss0130.php ,blerubrus,,,,,100,,FS,,,,,,,,,,,,
651,,0,,portable launcher scripts,None,0,8,2013-09-04 11:00:00,2013-09-11 11:00:00,0,3,specify and document how to launch the &quot;apt&quot; programs (currently in the ~/bin/ directory of cuttysark and bounty) with the different possible options,blerubrus,,,,,100,,FS,,,,,,,,,,,,
